DATE,UBIT,DURATION,ACTIVITY & TOOL DESCRIPTION
2024/09/11,jxie32,60 minutes,using github and VScode to set up branch for group work and using VScode to write first draft _r_h.c about _r and _h 
2024/09/13,jxie32,180 minutes,review the assignment requirements and using vscode to modify and test the code
